trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
145,0,145,0,5,284.95710199995665,284.95710199995665,0.012010400008875877,[0.18055555555555555],[0.06018518518518518],[1],[0],[0],[1.851003599993419],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
146,0,146,0,5,286.82351329998346,286.82351329998346,0.011984499986283481,[0.35555555555555557],[0.18055555555555555],[1],[0],[0],[1.3671853999840096],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
147,0,147,0,5,288.2072474999586,288.2072474999586,0.011782200017478317,[0.21388888888888888],[-0.4842592592592593],[1],[0],[0],[1.784224200004246],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
148,0,148,0,10,290.01998409995576,290.01998409995576,0.021533299994189292,[-0.14722222222222223],[0.4527777777777778],[1],[0],[0],[1.4917396000237204],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
149,0,149,0,5,291.52205519995186,291.52205519995186,0.011384099954739213,[-0.2861111111111111],[0.48333333333333334],[1],[0],[0],[1.2024950999766588],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
150,0,150,0,5,292.7391616999521,292.7391616999521,0.011474700004328042,[0.46574074074074073],[0.2101851851851852],[1],[0],[0],[1.5021260000066832],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
151,0,151,0,10,294.2741580999573,294.2741580999573,0.023256000014953315,[-0.29907407407407405],[0.4166666666666667],[1],[0],[0],[1.7195957999792881],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
152,0,152,0,10,296.0178373999661,296.0178373999661,0.021605700021609664,[0.024074074074074074],[-0.022222222222222223],[1],[0],[0],[2.809395599993877],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
153,0,153,0,10,298.85105679999106,298.85105679999106,0.021175700007006526,[0.022222222222222223],[0.38425925925925924],[1],[0],[0],[1.9084652999881655],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
154,0,154,0,5,300.77447539998684,300.77447539998684,0.012749999994412065,[-0.29444444444444445],[0.4388888888888889],[1],[0],[0],[1.3987623000284657],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
155,0,155,0,5,302.1891645999858,302.1891645999858,0.01220830000238493,[-0.17407407407407408],[0.39351851851851855],[1],[0],[0],[1.183985500014387],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
156,0,156,0,5,303.3955265999539,303.3955265999539,0.017750700004398823,[0.07222222222222222],[-0.19814814814814816],[1],[0],[0],[1.9278420000337064],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
157,0,157,0,10,305.351966599992,305.351966599992,0.022078300011344254,[-0.17222222222222222],[-0.11574074074074074],[1],[0],[0],[1.5072132999775931],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
158,0,158,0,5,306.8701227999991,306.8701227999991,0.01173139997990802,[0.1638888888888889],[-0.3888888888888889],[1],[0],[0],[1.6847998999874108],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
159,0,159,0,10,308.5837431999971,308.5837431999971,0.02148469997337088,[-0.275],[0.44166666666666665],[1],[0],[0],[1.9080277000321075],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
160,0,160,0,10,310.51650579995476,310.51650579995476,0.02148039999883622,[0.30833333333333335],[-0.3351851851851852],[1],[0],[0],[1.9752116000163369],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
161,0,161,0,10,312.51551959995413,312.51551959995413,0.021079800033476204,[-0.35185185185185186],[-0.11388888888888889],[1],[0],[0],[1.5923991999588907],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
162,0,162,0,5,314.12492299999576,314.12492299999576,0.015682100027333945,[0.25],[0.2638888888888889],[1],[0],[0],[2.395591900043655],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
163,0,163,0,5,316.5358684999519,316.5358684999519,0.011734899948351085,[-0.4787037037037037],[0.3731481481481482],[1],[0],[0],[1.868064799986314],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
164,0,164,0,5,318.4197218999616,318.4197218999616,0.011851799965370446,[0.43333333333333335],[-0.3685185185185185],[1],[0],[0],[2.3007765999645926],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
165,0,165,0,10,320.7486481999513,320.7486481999513,0.021808799996506423,[-0.08888888888888889],[0.36018518518518516],[1],[0],[0],[2.107740399951581],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
166,0,166,0,10,322.8807367999689,322.8807367999689,0.021459200012031943,[0.21203703703703702],[0.30462962962962964],[1],[0],[0],[1.5754872999968939],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
167,0,167,0,5,324.46847279998474,324.46847279998474,0.012057799962349236,[0.4101851851851852],[-0.37592592592592594],[1],[0],[0],[1.9849369999719784],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
168,0,168,0,5,326.46880829997826,326.46880829997826,0.01210019999416545,[-0.2074074074074074],[-0.09907407407407408],[1],[0],[0],[1.5511744000250474],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
169,0,169,0,5,328.0347241999698,328.0347241999698,0.011827000009361655,[-0.2574074074074074],[-0.10555555555555556],[1],[0],[0],[1.8176248999661766],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
170,0,170,0,10,329.9116374999867,329.9116374999867,0.041989599994849414,[-0.17314814814814813],[0.3101851851851852],[1],[0],[0],[1.7843081000028178],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
171,0,171,0,5,331.7042442999664,331.7042442999664,0.014274700020905584,[-0.11481481481481481],[0.28888888888888886],[1],[0],[0],[1.5484544999781065],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
172,0,172,0,5,333.27586499997415,333.27586499997415,0.017171200015582144,[-0.4083333333333333],[-0.03518518518518519],[1],[0],[0],[1.7105059000314213],['target'],339457,001,2022-09-28_16h02.23.636,Visual Search Experiment,2022.2.2,60.001788052928845,
