4.5979 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
83.4395 	DATA 	Keypress: down
83.4487 	EXP 	fixation: autoDraw = False
83.4487 	EXP 	grating: autoDraw = False
83.4487 	EXP 	grating: ori = 2.0
83.4487 	EXP 	fixation: autoDraw = True
84.4485 	EXP 	fixation: autoDraw = False
84.4485 	EXP 	grating: autoDraw = True
84.7483 	EXP 	grating: autoDraw = False
85.0527 	EXP 	New trial (rep=43, index=0): None
85.0553 	DATA 	Keypress: down
85.0652 	EXP 	fixation: autoDraw = False
85.0652 	EXP 	grating: autoDraw = False
85.0652 	EXP 	grating: ori = 0.0
85.0652 	EXP 	fixation: autoDraw = True
86.0649 	EXP 	fixation: autoDraw = False
86.0649 	EXP 	grating: autoDraw = True
86.3648 	EXP 	grating: autoDraw = False
86.8527 	EXP 	New trial (rep=44, index=0): None
86.8554 	DATA 	Keypress: up
86.8650 	EXP 	fixation: autoDraw = False
86.8650 	EXP 	grating: autoDraw = False
86.8650 	EXP 	grating: ori = -5.0
86.8650 	EXP 	fixation: autoDraw = True
87.8650 	EXP 	fixation: autoDraw = False
87.8650 	EXP 	grating: autoDraw = True
88.1647 	EXP 	grating: autoDraw = False
88.3193 	EXP 	New trial (rep=45, index=0): None
88.3220 	DATA 	Keypress: down
88.3314 	EXP 	fixation: autoDraw = False
88.3314 	EXP 	grating: autoDraw = False
88.3314 	EXP 	grating: ori = -2.0
88.3314 	EXP 	fixation: autoDraw = True
89.3313 	EXP 	fixation: autoDraw = False
89.3313 	EXP 	grating: autoDraw = True
89.6311 	EXP 	grating: autoDraw = False
89.9022 	EXP 	New trial (rep=46, index=0): None
89.9049 	DATA 	Keypress: down
89.9145 	EXP 	fixation: autoDraw = False
89.9145 	EXP 	grating: autoDraw = False
89.9145 	EXP 	grating: ori = 0.0
89.9145 	EXP 	fixation: autoDraw = True
90.9144 	EXP 	fixation: autoDraw = False
90.9144 	EXP 	grating: autoDraw = True
91.2143 	EXP 	grating: autoDraw = False
91.3354 	EXP 	New trial (rep=47, index=0): None
91.3379 	DATA 	Keypress: up
91.3475 	EXP 	fixation: autoDraw = False
91.3475 	EXP 	grating: autoDraw = False
91.3475 	EXP 	grating: ori = 1.0
91.3475 	EXP 	fixation: autoDraw = True
92.3476 	EXP 	fixation: autoDraw = False
92.3476 	EXP 	grating: autoDraw = True
92.6473 	EXP 	grating: autoDraw = False
93.0686 	EXP 	New trial (rep=48, index=0): None
93.0712 	DATA 	Keypress: up
93.0808 	EXP 	fixation: autoDraw = False
93.0808 	EXP 	grating: autoDraw = False
93.0808 	EXP 	grating: ori = 0.0
93.0808 	EXP 	fixation: autoDraw = True
94.0807 	EXP 	fixation: autoDraw = False
94.0807 	EXP 	grating: autoDraw = True
94.3807 	EXP 	grating: autoDraw = False
94.6390 	EXP 	New trial (rep=49, index=0): None
94.6420 	DATA 	Keypress: up
94.6438 	EXP 	fixation: autoDraw = False
94.6438 	EXP 	grating: autoDraw = False
94.6438 	EXP 	grating: ori = 0.0
94.6438 	EXP 	fixation: autoDraw = True
95.6470 	EXP 	fixation: autoDraw = False
95.6470 	EXP 	grating: autoDraw = True
95.9470 	EXP 	grating: autoDraw = False
96.2011 	EXP 	New trial (rep=50, index=0): None
96.2038 	DATA 	Keypress: up
96.2137 	EXP 	fixation: autoDraw = False
96.2137 	EXP 	grating: autoDraw = False
96.2137 	EXP 	grating: ori = 0.0
96.2137 	EXP 	fixation: autoDraw = True
97.2137 	EXP 	fixation: autoDraw = False
97.2137 	EXP 	grating: autoDraw = True
97.5135 	EXP 	grating: autoDraw = False
97.7681 	EXP 	New trial (rep=51, index=0): None
97.7706 	DATA 	Keypress: up
97.7800 	EXP 	fixation: autoDraw = False
97.7800 	EXP 	grating: autoDraw = False
97.7800 	EXP 	grating: ori = 0.0
97.7800 	EXP 	fixation: autoDraw = True
98.7800 	EXP 	fixation: autoDraw = False
98.7800 	EXP 	grating: autoDraw = True
99.0800 	EXP 	grating: autoDraw = False
99.2509 	EXP 	New trial (rep=52, index=0): None
99.2534 	DATA 	Keypress: up
99.2633 	EXP 	fixation: autoDraw = False
99.2633 	EXP 	grating: autoDraw = False
99.2633 	EXP 	grating: ori = 3.0
99.2633 	EXP 	fixation: autoDraw = True
100.2632 	EXP 	fixation: autoDraw = False
100.2632 	EXP 	grating: autoDraw = True
100.5631 	EXP 	grating: autoDraw = False
100.9180 	EXP 	New trial (rep=53, index=0): None
100.9207 	DATA 	Keypress: down
100.9298 	EXP 	fixation: autoDraw = False
100.9298 	EXP 	grating: autoDraw = False
100.9298 	EXP 	grating: ori = 0.0
100.9298 	EXP 	fixation: autoDraw = True
101.9295 	EXP 	fixation: autoDraw = False
101.9295 	EXP 	grating: autoDraw = True
102.2297 	EXP 	grating: autoDraw = False
102.5838 	EXP 	New trial (rep=54, index=0): None
102.5864 	DATA 	Keypress: up
102.5960 	EXP 	fixation: autoDraw = False
102.5960 	EXP 	grating: autoDraw = False
102.5960 	EXP 	grating: ori = 3.0
102.5960 	EXP 	fixation: autoDraw = True
103.5961 	EXP 	fixation: autoDraw = False
103.5961 	EXP 	grating: autoDraw = True
103.8960 	EXP 	grating: autoDraw = False
104.1983 	DATA 	Keypress: up
104.2170 	EXP 	New trial (rep=55, index=0): None
104.2294 	EXP 	fixation: autoDraw = False
104.2294 	EXP 	grating: autoDraw = False
104.2294 	EXP 	grating: ori = 0.0
104.2294 	EXP 	fixation: autoDraw = True
105.2293 	EXP 	fixation: autoDraw = False
105.2293 	EXP 	grating: autoDraw = True
105.5291 	EXP 	grating: autoDraw = False
105.7338 	EXP 	New trial (rep=56, index=0): None
105.7366 	DATA 	Keypress: down
105.7456 	EXP 	fixation: autoDraw = False
105.7456 	EXP 	grating: autoDraw = False
105.7456 	EXP 	grating: ori = 3.0
105.7456 	EXP 	fixation: autoDraw = True
106.7455 	EXP 	fixation: autoDraw = False
106.7455 	EXP 	grating: autoDraw = True
107.0455 	EXP 	grating: autoDraw = False
107.4675 	EXP 	New trial (rep=57, index=0): None
107.4701 	DATA 	Keypress: down
107.4789 	EXP 	fixation: autoDraw = False
107.4789 	EXP 	grating: autoDraw = False
107.4789 	EXP 	grating: ori = 0.0
107.4789 	EXP 	fixation: autoDraw = True
108.4788 	EXP 	fixation: autoDraw = False
108.4788 	EXP 	grating: autoDraw = True
108.7789 	EXP 	grating: autoDraw = False
109.2831 	EXP 	New trial (rep=58, index=0): None
109.2857 	DATA 	Keypress: up
109.2952 	EXP 	fixation: autoDraw = False
109.2952 	EXP 	grating: autoDraw = False
109.2952 	EXP 	grating: ori = 4.0
109.2952 	EXP 	fixation: autoDraw = True
110.2951 	EXP 	fixation: autoDraw = False
110.2951 	EXP 	grating: autoDraw = True
110.5951 	EXP 	grating: autoDraw = False
110.9334 	EXP 	New trial (rep=59, index=0): None
110.9370 	DATA 	Keypress: up
110.9450 	EXP 	fixation: autoDraw = False
110.9450 	EXP 	grating: autoDraw = False
110.9450 	EXP 	grating: ori = 0.0
110.9450 	EXP 	fixation: autoDraw = True
111.9450 	EXP 	fixation: autoDraw = False
111.9450 	EXP 	grating: autoDraw = True
112.2449 	EXP 	grating: autoDraw = False
112.6327 	EXP 	New trial (rep=60, index=0): None
112.6354 	DATA 	Keypress: down
112.6448 	EXP 	fixation: autoDraw = False
112.6448 	EXP 	grating: autoDraw = False
112.6448 	EXP 	grating: ori = 0.0
112.6448 	EXP 	fixation: autoDraw = True
113.6448 	EXP 	fixation: autoDraw = False
113.6448 	EXP 	grating: autoDraw = True
113.9447 	EXP 	grating: autoDraw = False
114.3491 	EXP 	New trial (rep=61, index=0): None
